year,jn_code,hybrid_oa_articles,articles,journal_title,e_issn,oa_mode
2015,GHG,1,88,Greenhouse Gases: Science and Technology,2152-3878,hybrid oa
2015,GPOL,2,90,Global Policy,1758-5899,hybrid oa
2015,GPR,1,127,Geophysical Prospecting,1365-2478,hybrid oa
2015,GPS,8,158,International Journal of Geriatric Psychiatry,1099-1166,hybrid oa
2015,GRL,188,1369,Geophysical Research Letters,1944-8007,hybrid oa
2015,GWAT,1,84,Groundwater,1745-6584,hybrid oa
2015,GWMR,1,44,Groundwater Monitoring & Remediation,1745-6592,hybrid oa
2015,HED,4,490,Head & Neck,1097-0347,hybrid oa
2015,HEP,7,791,Hepatology,1527-3350,hybrid oa
2015,HIST,5,149,History,1468-229X,hybrid oa
2015,HIV,1,128,HIV Medicine,1468-1293,hybrid oa
2015,HON,1,89,Hematological Oncology,1099-1069,hybrid oa
2015,HPJA,9,61,Health Promotion Journal of Australia,2201-1617,hybrid oa
2015,HPM,1,50,The International Journal of Health Planning and Management,1099-1751,hybrid oa
2015,HRM,1,96,Human Resource Management,1099-050X,hybrid oa
2015,HSC,8,132,Health and Social Care in the Community,1365-2524,hybrid oa
2015,IBI,3,103,Ibis,1474-919X,hybrid oa
2015,IDH,1,67,International Journal of Dental Hygiene,1601-5037,hybrid oa
2015,IJC,4,507,International Journal of Cancer,1097-0215,hybrid oa
2015,IJCP,1,186,International Journal of Clinical Practice,1742-1241,hybrid oa
2015,IJGO,120,461,International Journal of Gynecology &Obstetrics,1879-3479,hybrid oa
2015,IJNT,1,57,International Journal of Nursing Knowledge,2047-3095,hybrid oa
2015,IJPO,6,96,Pediatric Obesity,2047-6310,hybrid oa
2015,IJPP,1,69,International Journal of Pharmacy Practice,2042-7174,hybrid oa
2015,IMCB,11,127,Immunology & Cell Biology,1440-1711,hybrid oa
2015,IMM,2,174,Immunology,1365-2567,hybrid oa
2015,INA,3,95,Indoor Air,1600-0668,hybrid oa
2015,INS,1,91,Insect Science,1744-7917,hybrid oa
2015,IPD,1,68,International Journal of Paediatric Dentistry,1365-263X,hybrid oa
2015,ITOR,1,86,International Transactions in Operational Research,1475-3995,hybrid oa
2015,JACE,2,593,Journal of the American Ceramic Society,1551-2916,hybrid oa
2015,JAE,1,78,Journal of Applied Econometrics,1099-1255,hybrid oa
2015,JAM,1,282,Journal of Applied Microbiology,1365-2672,hybrid oa
2015,JANE,10,140,Journal of Animal Ecology,1365-2656,hybrid oa
2015,JAPP,1,66,Journal of Applied Philosophy,1468-5930,hybrid oa
2015,JAR,2,96,Journal of Applied Research in Intellectual Disabilities,1468-3148,hybrid oa
2015,JBI,3,228,Journal of Biogeography,1365-2699,hybrid oa
2015,JBIO,1,131,Journal of Biophotonics,1864-0648,hybrid oa
2015,JBM,1,229,Journal of Biomedical Materials Research Part A,1552-4965,hybrid oa
2015,JBMB,6,250,Journal of Biomedical Materials Research Part B: Applied Biomaterials,1552-4981,hybrid oa
2015,JBMR,4,338,Journal of Bone and Mineral Research,1523-4681,hybrid oa
2015,JCAP,1,31,Journal of Child and Adolescent Psychiatric Nursing,1744-6171,hybrid oa
2015,JCC,2,345,Journal of Computational Chemistry,1096-987X,hybrid oa
2015,JCE,1,258,Journal of Cardiovascular Electrophysiology,1540-8167,hybrid oa
2015,JCMS,3,158,JCMS: Journal of Common Market Studies,1468-5965,hybrid oa
2015,JCP,2,429,Journal of Cellular Physiology,1097-4652,hybrid oa
2015,JCPE,1,152,Journal of Clinical Periodontology,1600-051X,hybrid oa
2015,JCPH,5,241,Journal of Clinical Pharmacology,1552-4604,hybrid oa
2015,JCR,55,249,Journal of Applied Crystallography,1600-5767,hybrid oa
2015,JDN,1,458,International Journal of Developmental Neuroscience,1873-474X,hybrid oa
2015,JEB,5,243,Journal of Evolutionary Biology,1420-9101,hybrid oa
2015,JEN,1,90,Journal of Applied Entomology,1439-0418,hybrid oa
2015,JEP,7,213,Journal of Evaluation in Clinical Practice,1365-2753,hybrid oa
2015,JGC4,2,115,Journal of Genetic Counseling,1573-3599,hybrid oa
2015,JGRA,59,786,Journal of Geophysical Research: Space Physics,2169-9402,hybrid oa
2015,JGRB,36,476,Journal of Geophysical Research: Solid Earth,2169-9356,hybrid oa
2015,JGRC,41,480,Journal of Geophysical Research: Oceans,2169-9291,hybrid oa
2015,JGRD,63,763,Journal of Geophysical Research: Atmospheres,2169-8996,hybrid oa
2015,JGRE,2,133,Journal of Geophysical Research: Planets,2169-9100,hybrid oa
2015,JGRF,5,147,Journal of Geophysical Research: Earth Surface,2169-9011,hybrid oa
2015,JGRG,3,180,Journal of Geophysical Research: Biogeosciences,2169-8961,hybrid oa
2015,JGS,1,617,Journal of American Geriatrics Society,1532-5415,hybrid oa
2015,JID,7,113,Journal of International Development,1099-1328,hybrid oa
2015,JIEC,11,174,Journal of Industrial Ecology,1530-9290,hybrid oa
2015,JLB,8,256,Journal of Leukocyte Biology,1938-3673,hybrid oa
2015,JMI,10,148,Journal of Microscopy,1365-2818,hybrid oa
2015,JNC,3,488,Journal of Neurochemistry,1471-4159,hybrid oa
2015,JNR,1,143,Journal of Neuroscience Research,1097-4547,hybrid oa
2015,JOA,2,157,Journal of Anatomy,1469-7580,hybrid oa
2015,JOB,1,86,Journal of Organizational Behavior,1099-1379,hybrid oa
2015,JOC,1,352,International Journal of Climatology,1097-0088,hybrid oa
2015,JOCN,2,308,Journal of Clinical Nursing,1365-2702,hybrid oa
2015,JOES,1,39,Journal of Economic Surveys,1467-6419,hybrid oa
2015,JOFO,1,46,Journal of Field Ornithology,1557-9263,hybrid oa
2015,JOIM,2,120,Journal of Internal Medicine,1365-2796,hybrid oa
2015,JON,1,121,Journal of Neuroimaging,1552-6569,hybrid oa
2015,JOOM,1,57,Journal of Operations Management,1873-1317,hybrid oa
2015,JOPY,1,67,Journal of Personality,1467-6494,hybrid oa
2015,JOR,3,330,Journal of Orthopaedic Research ®,1554-527X,hybrid oa
2015,JPE,3,200,Journal of Applied Ecology,1365-2664,hybrid oa
2015,JRSM,1,47,Research Synthesis Methods,1759-2887,hybrid oa
2015,JSDE,2,116,Journal of Surfactants and Detergents,1558-9293,hybrid oa
2015,JSO,2,268,Journal of Surgical Oncology,1096-9098,hybrid oa
2015,JSY,84,210,Journal of Synchrotron Radiation,1600-5775,hybrid oa
2015,JTH,1,368,Journal of Thrombosis and Haemostasis,1538-7836,hybrid oa
2015,JVH,3,357,Journal of Viral Hepatitis,1365-2893,hybrid oa
2015,JWMG,1,185,The Journal of Wildlife Management,1937-2817,hybrid oa
2015,LARY,5,688,The Laryngoscope,1531-4995,hybrid oa
2015,LIPD,3,126,Lipids,1558-9307,hybrid oa
2015,LNO,4,201,Limnology and Oceanography,1939-5590,hybrid oa
2015,LPOR,2,126,Laser & Photonics Reviews,1863-8899,hybrid oa
2015,LSM,1,148,Lasers in Surgery and Medicine,1096-9101,hybrid oa
2015,LUTS,1,38,LUTS,1757-5672,hybrid oa
2015,MAPS,2,146,Meteoritics & Planetary Science,1945-5100,hybrid oa
2015,MC,4,184,Molecular Carcinogenesis,1098-2744,hybrid oa
2015,MDS,1,337,Movement Disorders,1531-8257,hybrid oa
2015,MEC,4,459,Molecular Ecology,1365-294X,hybrid oa
2015,MEE3,5,184,Methods in Ecology and Evolution,2041-210X,hybrid oa
2015,MEN,2,137,Molecular Ecology Resources,1755-0998,hybrid oa
2015,MMI,2,374,Molecular Microbiology,1365-2958,hybrid oa
2015,MP,60,3246,Medical Physics,2473-4209,hybrid oa
2015,MPO,2,496,Pediatric Blood & Cancer,1545-5017,hybrid oa
2015,MRM,15,460,Magnetic Resonance in Medicine,1522-2594,hybrid oa
2015,NAU,2,213,Neurourology and Urodynamics,1520-6777,hybrid oa
2015,NBM,1,206,NMR in Biomedicine,1099-1492,hybrid oa
2015,NOUS,1,45,Noûs,1468-0068,hybrid oa
2015,NPH,24,561,New Phytologist,1469-8137,hybrid oa
2015,OBES,1,36,Oxford Bulletin of Economics and Statistics,1468-0084,hybrid oa
2015,OBY,5,360,Obesity,1930-739X,hybrid oa
2015,PAI,1,177,Pediatric Allergy and Immunology,1399-3038,hybrid oa
2015,PALO,6,110,Paleoceanography and Paleoclimatology,1944-9186,hybrid oa
2015,PAM,2,76,Journal of Policy Analysis and Management,1520-6688,hybrid oa
2015,PAPQ,1,90,Pacific Philosophical Quarterly,1468-0114,hybrid oa
2015,PATH,3,172,The Journal of Pathology,1096-9896,hybrid oa
2015,PC,1,532,Polymer Composites,1548-0569,hybrid oa
2015,PCE,5,174,"Plant, Cell & Environment",1365-3040,hybrid oa
2015,PCMR,1,103,Pigment Cell & Melanoma Research,1755-148X,hybrid oa
2015,PED,1,315,Pediatrics International,1442-200X,hybrid oa
2015,PIN,1,139,Pathology International,1440-1827,hybrid oa
2015,PIP,1,132,Progress in Photovoltaics: Research and Applications,1099-159X,hybrid oa
2015,PMR,1,608,PM&R,1934-1563,hybrid oa
2015,PON,2,314,Psycho-Oncology,1099-1611,hybrid oa
2015,PRO,4,240,Protein Science,1469-896X,hybrid oa
2015,PROT,1,205,"Proteins: Structure, Function, and Bioinformatics",1097-0134,hybrid oa
2015,PSP,3,92,"Population, Space and Place",1544-8452,hybrid oa
2015,PSSB,1,465,physica status solidi (b) basic solid state physics,1521-3951,hybrid oa
2015,QJ,7,203,Quarterly Journal of the Royal Meteorological Society,1477-870X,hybrid oa
2015,RDS,3,113,Radio Science,1944-799X,hybrid oa
2015,REST,1,78,Renaissance Studies,1477-4658,hybrid oa
2015,RFE,1,28,Review of Financial Economics,1873-5924,hybrid oa
2015,RISA,2,195,Risk Analysis,1539-6924,hybrid oa
2015,ROG,8,33,Reviews of Geophysics,1944-9208,hybrid oa
2015,ROIW,2,63,Review of Income and Wealth,1475-4991,hybrid oa
2015,RRA,1,111,River Research and Applications,1535-1467,hybrid oa
2015,RSSA,1,69,Journal of the Royal Statistical Society: Series A (Statistics in Society),1467-985X,hybrid oa
2015,SCE,1,66,Science Education,1098-237X,hybrid oa
2015,SIA,1,159,Surface and Interface Analysis,1096-9918,hybrid oa
2015,SMS,1,258,Scandinavian Journal of Medicine & Science in Sports,1600-0838,hybrid oa
2015,SPOL,1,98,Social Policy & Administration,1467-9515,hybrid oa
2015,SRIN,1,240,Steel Research International,1869-344X,hybrid oa
2015,STAR,2,169,Starch,1521-379X,hybrid oa
2015,STEM,20,339,STEM CELLS,1549-4918,hybrid oa
2015,TBED,12,138,Transboundary and Emerging Diseases,1865-1682,hybrid oa
2015,TER,1,59,Terra Nova,1365-3121,hybrid oa
2015,TERM,6,138,Journal of Tissue Engineering and Regenerative Medicine,1932-7005,hybrid oa
2015,TJP,2,519,The Journal of Physiology,1469-7793,hybrid oa
2015,TOPS,1,52,Topics in Cognitive Science,1756-8765,hybrid oa
2015,TOX,1,128,Environmental Toxicology,1522-7278,hybrid oa
2015,TPJ,3,338,The Plant Journal,1365-313X,hybrid oa
2015,TRF,2,444,Transfusion,1537-2995,hybrid oa
2015,UOG,1,993,Ultrasound in Obstetrics & Gynecology,1469-0705,hybrid oa
2015,VCO,1,49,Veterinary and Comparative Oncology,1476-5829,hybrid oa
2015,VOP,1,88,Veterinary Ophthalmology,1463-5224,hybrid oa
2015,VOX,1,120,Vox Sanguinis,1423-0410,hybrid oa
2015,WAT2,9,72,Wiley Interdisciplinary Reviews: Water,2049-1948,hybrid oa
2015,WBM,1,20,Weed Biology and Management,1445-6664,hybrid oa
2015,WCC,9,51,WIREs Climate Change,1757-7799,hybrid oa
2015,WCMS,4,24,Wiley Interdisciplinary Reviews: Computational Molecular Science,1759-0884,hybrid oa
2015,WCS,1,38,Wiley Interdisciplinary Reviews - Cognitive Science,1939-5086,hybrid oa
2015,WDEV,10,51,Wiley Interdisciplinary Reviews: Developmental Biology,1759-7692,hybrid oa
2015,WE,1,109,Wind Energy,1099-1824,hybrid oa
2015,WENE,2,33,Wiley Interdisciplinary Reviews: Energy and Environment,2041-840X,hybrid oa
2015,WICS,1,33,Wiley Interdisciplinary Reviews: Computational Statistics,1939-0068,hybrid oa
2015,WNAN,3,59,Wiley Interdisciplinary Reviews - Nanomedicine and Nanobiotechnology,1939-0041,hybrid oa
2015,WRCR,21,568,Water Resources Research,1944-7973,hybrid oa
2015,WRNA,7,44,Wiley Interdisciplinary Reviews: RNA,1757-7012,hybrid oa
2015,WSBM,5,41,Wiley Interdisciplinary Reviews: Systems Biology and Medicine,1939-005X,hybrid oa
2015,ZPH,1,72,Zoonoses and Public Health,1863-2378,hybrid oa
2016,2525,3,125,Israel Journal of Chemistry,1869-5868,hybrid oa
2016,AAB,1,69,Annals of Applied Biology,1744-7348,hybrid oa
2016,AAS,1,169,Acta Anaesthesiologica Scandinavica,1399-6576,hybrid oa
2016,ACEM,1,241,Academic Emergency Medicine,1553-2712,hybrid oa
2016,ACER,2,359,Alcoholism: Clinical & Experimental Research,1530-0277,hybrid oa
2016,ACP,9,107,Applied Cognitive Psychology,1099-0720,hybrid oa
2016,ACR,12,278,Arthritis Care & Research,2151-4658,hybrid oa
2016,ACS,2,91,International Journal of Adaptive Control and Signal Processing,1099-1115,hybrid oa
2016,ADB,10,141,Addiction Biology,1369-1600,hybrid oa
2016,ADD,15,466,Addiction,1360-0443,hybrid oa
2016,ADEM,2,256,Advanced Engineering Materials,1527-2648,hybrid oa
2016,ADFM,2,1211,Advanced Functional Materials,1616-3028,hybrid oa
2016,ADMA,14,1545,Advanced Materials,1521-4095,hybrid oa
2016,ADMI,2,536,Advanced Materials Interfaces,2196-7350,hybrid oa
2016,ADOM,12,345,Advanced Optical Materials,2195-1071,hybrid oa
2016,ADSC,2,566,Advanced Synthesis & Catalysis,1615-4169,hybrid oa
2016,AEC,1,136,Austral Ecology,1442-9993,hybrid oa
2016,AELM,4,289,Advanced Electronic Materials,2199-160X,hybrid oa
2016,AENM,3,644,Advanced Energy Materials,1614-6840,hybrid oa
2016,AGE,3,128,Animal Genetics,1365-2052,hybrid oa
2016,AHM,4,431,Advanced Healthcare Materials,2192-2659,hybrid oa
2016,AIC,5,463,AIChE Journal,1547-5905,hybrid oa
2016,AJCO,4,210,Asia-Pacific Journal of Clinical Oncology,1743-7563,hybrid oa
2016,AJD,1,138,Australasian Journal of Dermatology,1440-0960,hybrid oa
2016,AJE,3,110,African Journal of Ecology,1365-2028,hybrid oa
2016,AJHB,3,124,American Journal of Human Biology,1520-6300,hybrid oa
2016,AJMB,7,106,American Journal of Medical Genetics Part B:Neuropsychiatric Genetics,1552-485X,hybrid oa
2016,AJMG,7,521,American Journal of Medical Genetics Part A,1552-4833,hybrid oa
2016,AJP,2,100,American Journal of Primatology,1098-2345,hybrid oa
2016,AJPA,3,228,American Journal of Physical Anthropology,1096-8644,hybrid oa
2016,AJR,1,70,Australian Journal of Rural Health,1440-1584,hybrid oa
2016,AJT,21,543,American Journal of Transplantation,1600-6143,hybrid oa
2016,ALL,16,275,Allergy,1398-9995,hybrid oa
2016,ALR,2,206,International Forum of Allergy & Rhinology,2042-6984,hybrid oa
2016,ANA,10,264,Annals of Neurology,1531-8249,hybrid oa
2016,ANAE,3,411,Anaesthesia,1365-2044,hybrid oa
2016,ANDP,1,128,Annalen der Physik,1521-3889,hybrid oa
2016,ANDR,1,174,Andrology,2047-2927,hybrid oa
2016,ANE,7,175,Acta Neurologica Scandinavica,1600-0404,hybrid oa
2016,ANGE,160,3149,Angewandte Chemie,1521-3757,hybrid oa
2016,ANIE,165,3149,Angewandte Chemie International Edition,1521-3773,hybrid oa
2016,ANTI,3,98,Antipode,1467-8330,hybrid oa
2016,ANZF,1,62,Australian and New Zealand Journal of Family Therapy,1467-8438,hybrid oa
2016,ANZS,1,36,Australian & New Zealand Journal of Statistics,1467-842X,hybrid oa
2016,AOCS,4,162,Journal of The American Oil Chemists' Society,1558-9331,hybrid oa
2016,AOGS,4,212,Acta Obstetricia et Gynecologica Scandinavica,1600-0412,hybrid oa
2016,AOR,3,185,Artificial Organs,1525-1594,hybrid oa
2016,AOS,10,1126,Acta Ophthalmologica,1755-3768,hybrid oa
2016,AP,1,108,Australian Psychologist,1742-9544,hybrid oa
2016,APA,7,407,Acta Paediatrica: Nurturing the Child,1651-2227,hybrid oa
2016,APHA,9,192,Acta Physiologica,1748-1716,hybrid oa
2016,APHW,1,24,Applied Psychology: Health and Well-Being,1758-0854,hybrid oa
2016,APL,3,179,International Journal of Rheumatic Diseases,1756-185X,hybrid oa
2016,APM,1,156,APMIS,1600-0463,hybrid oa
2016,APP,1,1295,Journal of Applied Polymer Science,1097-4628,hybrid oa
2016,APT,7,400,Alimentary Pharmacology & Therapeutics,1365-2036,hybrid oa
2016,AQC,4,112,Aquatic Conservation: Marine and Freshwater Ecosystems,1099-0755,hybrid oa
2016,ARA,1,165,Journal of Medical Imaging and Radiation Oncology,1754-9485,hybrid oa
2016,AREA,3,71,Area,1475-4762,hybrid oa
2016,ART,23,432,Arthritis & Rheumatology,2326-5205,hybrid oa
2016,ASES,1,95,Asian Journal of Endoscopic Surgery,1758-5910,hybrid oa
2016,ASH,1,66,Surgical Practice,1744-1633,hybrid oa
2016,ASI,4,133,Journal of the Association for Information Science and Technology,2330-1643,hybrid oa
2016,ASIA,2,517,Chemistry - An Asian Journal,1861-471X,hybrid oa
2016,ASJC,2,179,Asian Journal of Control,1934-6093,hybrid oa
2016,ASMB,1,68,Applied Stochastic Models in Business and Industry,1526-4025,hybrid oa
2016,AUPA,1,50,Australian Journal of Public Administration,1467-8500,hybrid oa
2016,AUR,9,143,Autism Research,1939-3806,hybrid oa
2016,AVSC,1,75,Applied Vegetation Science,1654-109X,hybrid oa
2016,AYA,7,721,Acta Crystallographica Section A: Foundations and Advances,2053-2733,hybrid oa
2016,AYB,10,106,"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",2052-5206,hybrid oa
2016,AYD,60,135,Acta Crystallographica Section D: Structural Biology,2059-7983,hybrid oa
2016,AYF,27,136,Acta crystallographica Section F Structural Biology Communications,2053-230X,hybrid oa
2016,AZO,1,31,Acta Zoologica,1463-6395,hybrid oa
2016,BAB,1,62,Biotechnology and Applied Biochemistry,1470-8744,hybrid oa
2016,BBB,2,115,"Biofuels, Bioproducts and Biorefining",1932-1031,hybrid oa
2016,BCP,14,360,British Journal of Clinical Pharmacology,1365-2125,hybrid oa
2016,BCPT,3,173,Basic & Clinical Pharmacology & Toxicology,1742-7843,hybrid oa
2016,BDM,3,66,Journal of Behavioral Decision Making,1099-0771,hybrid oa
2016,BEM,1,79,Bioelectromagnetics,1521-186X,hybrid oa
2016,BERJ,5,39,British Educational Research Journal,1469-3518,hybrid oa
2016,BIES,16,229,BioEssays,1521-1878,hybrid oa
2016,BIMJ,4,112,Biometrical Journal,1521-4036,hybrid oa
2016,BIOE,3,91,Bioethics,1467-8519,hybrid oa
2016,BIOM,2,172,Biometrics,1541-0420,hybrid oa
2016,BIOT,7,200,Biotechnology Journal,1860-7314,hybrid oa
2016,BIP,9,197,Biopolymers,1097-0282,hybrid oa
2016,BIRT,1,58,Birth,1523-536X,hybrid oa
2016,BIT,9,310,Biotechnology and Bioengineering,1097-0290,hybrid oa
2016,BJET,1,129,British Journal of Educational Technology,1467-8535,hybrid oa
2016,BJH,7,655,British Journal of Haematology,1365-2141,hybrid oa
2016,BJHP,2,46,British Journal of Health Psychology,2044-8287,hybrid oa
2016,BJOP,2,56,British Journal of Psychology,2044-8295,hybrid oa
2016,BJSO,2,40,British Journal of Social Psychology,2044-8309,hybrid oa
2016,BJU,6,376,BJU International,1464-410X,hybrid oa
2016,BLAR,2,165,Bulletin of Latin American Research,1470-9856,hybrid oa
2016,BMB,4,102,Biochemistry and Molecular Biology Education,1539-3429,hybrid oa
2016,BOC,1,52,Biology of the Cell,1768-322X,hybrid oa
2016,BOER,1,43,Bulletin of Economic Research,1467-8586,hybrid oa
2016,BPA,2,110,Brain Pathology,1750-3639,hybrid oa
2016,BPH,14,297,British Journal of Pharmacology,1476-5381,hybrid oa
2016,BRE,3,58,Basin Research,1365-2117,hybrid oa
2016,BRV,12,74,Biological Reviews,1469-185X,hybrid oa
2016,BTP,2,131,Biotropica,1744-7429,hybrid oa
2016,BTPR,1,196,Biotechnology Progress,1520-6033,hybrid oa
2016,CA,3,131,Clinical Anatomy,1098-2353,hybrid oa
2016,CAG,1,96,The Canadian Geographer/Le Geographe Canadien,1541-0064,hybrid oa
2016,CAMH,2,67,Child and Adolescent Mental Health,1475-3588,hybrid oa
